type,beds,baths,garage,lot_sqft,sqft,stories,listPrice,age_range
single_family,1.0,0.0,2.0,4374.0,1300.0,1.0,450000.0,100 - 134
condos,3.0,2.0,2.0,3751.0,1600.0,1.0,350000.0,67 - 100
multi_family,6.0,5.0,2.0,3485.0,1550.0,2.0,549000.0,33 - 67
single_family,3.0,3.0,2.0,3751.0,2889.0,2.0,824000.0,0 - 33
single_family,3.0,2.0,2.0,6970.0,1348.0,2.0,199900.0,33 - 67
single_family,4.0,2.0,2.0,3125.0,977.0,2.0,129900.0,67 - 100
condos,1.0,1.0,2.0,3751.0,1550.0,5.0,375000.0,100 - 134
condos,3.0,3.0,1.0,3751.0,2615.0,4.0,1199999.0,0 - 33
condos,3.0,2.0,2.0,3751.0,1550.0,4.0,949000.0,0 - 33
condos,2.0,1.0,1.0,3751.0,1400.0,3.0,399000.0,67 - 100
multi_family,4.0,2.0,2.0,3485.0,1550.0,2.0,575000.0,100 - 134
condos,2.0,2.0,1.0,3751.0,1200.0,3.0,285000.0,0 - 33
condos,2.0,2.0,2.0,3751.0,1550.0,3.0,315000.0,100 - 134
multi_family,9.0,6.0,2.0,3125.0,1550.0,2.0,949000.0,0 - 33
condos,3.0,3.0,2.0,3751.0,2283.0,3.0,498000.0,0 - 33
condos,2.0,2.0,1.0,3751.0,1550.0,3.0,710000.0,0 - 33
condos,3.0,3.0,2.0,3751.0,1550.0,3.0,699900.0,0 - 33
condos,2.0,2.0,2.0,3751.0,950.0,3.0,260000.0,100 - 134
condos,2.0,1.0,2.0,3751.0,1550.0,3.0,345000.0,100 - 134
condos,3.0,3.0,2.0,3751.0,2000.0,1.0,360000.0,67 - 100
condos,2.0,1.0,2.0,6200.0,942.0,3.0,289900.0,67 - 100
condos,2.0,3.0,2.0,3751.0,2167.0,4.0,899000.0,67 - 100
condos,1.0,1.0,36.0,3751.0,1550.0,7.0,329900.0,0 - 33
condos,3.0,2.0,1.0,3751.0,1550.0,3.0,765000.0,0 - 33
condos,4.0,3.0,1.0,3751.0,2300.0,4.0,965000.0,0 - 33
condos,3.0,2.0,2.0,3751.0,1550.0,3.0,525000.0,100 - 134
condos,2.0,2.0,2.0,3751.0,780.0,3.0,299900.0,67 - 100
condos,2.0,2.0,2.0,3751.0,1200.0,4.0,229900.0,67 - 100
multi_family,5.0,3.0,2.0,4375.0,1550.0,2.0,559000.0,100 - 134
condos,2.0,2.0,2.0,3751.0,1200.0,1.0,249900.0,0 - 33
condos,4.0,4.0,1.0,3751.0,4400.0,4.0,2450000.0,0 - 33
townhomes,3.0,3.0,2.0,1586.0,3200.0,3.0,1150000.0,0 - 33
condos,4.0,3.0,3.0,3751.0,1550.0,4.0,1450000.0,0 - 33
townhomes,3.0,3.0,2.0,3751.0,2382.0,4.0,649900.0,0 - 33
condos,3.0,2.0,2.0,3751.0,1400.0,3.0,204900.0,100 - 134
condos,3.0,3.0,1.0,3751.0,2340.0,3.0,975000.0,0 - 33
multi_family,6.0,2.0,2.0,3751.0,1550.0,2.0,649900.0,134 - 168
condos,2.0,2.0,1.0,3751.0,1550.0,3.0,735000.0,0 - 33
multi_family,5.0,2.0,2.0,3485.0,1550.0,2.0,284900.0,100 - 134
condos,3.0,2.0,2.0,3751.0,1600.0,3.0,469000.0,100 - 134
townhomes,2.0,2.0,1.0,2142.0,992.0,2.0,219900.0,67 - 100
condos,3.0,3.0,2.0,3751.0,2300.0,4.0,325000.0,100 - 134
condos,4.0,5.0,1.0,3751.0,4000.0,4.0,1599000.0,0 - 33
townhomes,4.0,5.0,1.0,3751.0,3800.0,4.0,1050000.0,33 - 67
multi_family,6.0,3.0,2.0,6098.0,3000.0,2.0,600000.0,100 - 134
condos,2.0,2.0,1.0,3751.0,1116.0,3.0,450000.0,100 - 134
multi_family,4.0,2.0,2.0,2698.0,1550.0,2.0,699900.0,100 - 134
condos,2.0,1.0,1.0,3751.0,900.0,1.0,335000.0,33 - 67
condos,2.0,2.0,2.0,3751.0,1350.0,4.0,629000.0,67 - 100
condos,3.0,4.0,2.0,3751.0,4500.0,12.0,1495000.0,100 - 134
condos,2.0,2.0,1.0,3751.0,1200.0,3.0,389000.0,0 - 33
condos,2.0,1.0,2.0,3751.0,1550.0,4.0,385000.0,100 - 134
multi_family,6.0,2.0,2.0,3751.0,1550.0,2.0,265000.0,100 - 134
multi_family,8.0,5.0,2.0,2616.0,1550.0,2.0,1229900.0,67 - 100
condos,3.0,2.0,1.0,3751.0,1550.0,4.0,635000.0,0 - 33
condos,3.0,2.0,2.0,3751.0,2000.0,3.0,450000.0,67 - 100
condos,3.0,3.0,2.0,3751.0,1850.0,4.0,600000.0,0 - 33
condos,2.0,2.0,2.0,3751.0,1000.0,3.0,175000.0,67 - 100
condos,3.0,3.0,1.0,3751.0,1700.0,4.0,850000.0,0 - 33
condos,1.0,1.0,2.0,3751.0,1550.0,2.0,155000.0,33 - 67
condos,2.0,2.0,2.0,3751.0,1296.0,3.0,397999.0,0 - 33
condos,2.0,2.0,2.0,3751.0,1200.0,3.0,259999.0,0 - 33
multi_family,7.0,3.0,2.0,2475.0,1550.0,2.0,694995.0,134 - 168
condos,3.0,2.0,1.0,3751.0,1800.0,4.0,885000.0,0 - 33
multi_family,5.0,2.0,2.0,2614.0,1550.0,2.0,171000.0,100 - 134
multi_family,7.0,3.0,2.0,3125.0,1550.0,2.0,410000.0,100 - 134
condos,1.0,1.0,2.0,3751.0,800.0,3.0,145900.0,33 - 67
condos,2.0,2.0,2.0,3751.0,1000.0,3.0,325000.0,100 - 134
multi_family,5.0,2.0,2.0,3125.0,1550.0,2.0,288000.0,100 - 134
multi_family,6.0,3.0,2.0,3125.0,1550.0,2.0,510000.0,100 - 134
condos,1.0,1.0,1.0,3751.0,1000.0,4.0,409900.0,100 - 134
condos,1.0,1.0,1.0,3751.0,1550.0,10.0,295000.0,100 - 134
condos,0.0,1.0,2.0,3751.0,505.0,10.0,149900.0,100 - 134
condos,2.0,2.0,1.0,3751.0,1359.0,7.0,400000.0,0 - 33
condos,2.0,2.0,1.0,3751.0,1200.0,28.0,180000.0,33 - 67
condos,2.0,2.0,2.0,3751.0,1217.0,4.0,450000.0,100 - 134
condos,1.0,1.0,1.0,3751.0,1550.0,6.0,399900.0,0 - 33
condos,2.0,1.0,2.0,3751.0,900.0,3.0,215000.0,67 - 100
condos,2.0,2.0,1.0,3751.0,1425.0,57.0,464000.0,33 - 67
condos,4.0,2.0,2.0,3751.0,1600.0,3.0,475000.0,67 - 100
condos,1.0,1.0,2.0,3751.0,1550.0,3.0,140000.0,67 - 100
condos,1.0,1.0,2.0,3751.0,750.0,3.0,139000.0,33 - 67
condos,2.0,2.0,2.0,3751.0,1600.0,4.0,389900.0,67 - 100
condos,2.0,2.0,2.0,3751.0,1550.0,6.0,214900.0,33 - 67
condos,2.0,1.0,1.0,3751.0,980.0,4.0,319000.0,0 - 33
condos,2.0,1.0,2.0,3751.0,1550.0,4.0,134900.0,33 - 67
condos,2.0,1.0,2.0,3751.0,1550.0,3.0,319500.0,67 - 100
multi_family,6.0,3.0,2.0,3751.0,1550.0,2.0,299000.0,67 - 100
condos,2.0,1.0,2.0,3751.0,1550.0,3.0,199900.0,67 - 100
condos,2.0,1.0,1.0,3751.0,1039.0,10.0,399000.0,0 - 33
condos,1.0,1.0,1.0,3751.0,1550.0,35.0,280000.0,0 - 33
condos,1.0,2.0,1.0,3751.0,1470.0,66.0,575000.0,33 - 67
condos,2.0,2.0,1.0,3751.0,1175.0,16.0,445000.0,0 - 33
townhomes,3.0,3.0,2.0,1984.0,1670.0,2.0,469000.0,0 - 33
condos,1.0,1.0,2.0,3751.0,725.0,60.0,339000.0,33 - 67
condos,0.0,1.0,1.0,3751.0,1550.0,59.0,209900.0,0 - 33
condos,1.0,1.0,1.0,3751.0,1100.0,70.0,410000.0,33 - 67
condos,1.0,1.0,1.0,3751.0,800.0,40.0,249900.0,33 - 67
condos,4.0,4.0,1.0,3751.0,2400.0,3.0,1169000.0,0 - 33
condos,1.0,1.0,1.0,3751.0,750.0,23.0,245000.0,67 - 100
condos,1.0,1.0,1.0,3751.0,735.0,26.0,200000.0,33 - 67
condos,1.0,1.0,2.0,3751.0,860.0,45.0,365000.0,0 - 33
condos,1.0,1.0,2.0,3751.0,1550.0,46.0,260000.0,0 - 33
condos,1.0,1.0,1.0,3751.0,1550.0,22.0,275000.0,0 - 33
condos,1.0,1.0,2.0,3751.0,1550.0,16.0,189000.0,67 - 100
condos,2.0,3.0,2.0,3751.0,1550.0,28.0,590000.0,33 - 67
condos,3.0,2.0,1.0,3751.0,1611.0,57.0,724900.0,0 - 33
condos,2.0,2.0,1.0,3751.0,1100.0,30.0,500000.0,33 - 67
condos,1.0,1.0,1.0,3751.0,864.0,24.0,265000.0,0 - 33
condos,2.0,2.0,1.0,3751.0,1762.0,45.0,398000.0,33 - 67
condos,2.0,2.0,1.0,3751.0,1550.0,7.0,387500.0,0 - 33
condos,1.0,1.0,1.0,3751.0,1550.0,7.0,249900.0,67 - 100
condos,1.0,1.0,1.0,3751.0,680.0,54.0,229000.0,33 - 67
single_family,4.0,3.0,2.0,3125.0,2800.0,2.0,790000.0,0 - 33
condos,2.0,1.0,2.0,3751.0,1000.0,14.0,75900.0,33 - 67
condos,3.0,3.0,1.0,3751.0,1758.0,57.0,1100000.0,0 - 33
condos,1.0,2.0,1.0,3751.0,1550.0,8.0,250000.0,0 - 33
condos,3.0,3.0,1.0,3751.0,2096.0,55.0,950000.0,0 - 33
condos,2.0,2.0,1.0,3751.0,1299.0,12.0,650000.0,0 - 33
condos,2.0,2.0,1.0,3751.0,1550.0,29.0,325000.0,33 - 67
condos,2.0,2.0,2.0,3751.0,1395.0,10.0,685000.0,0 - 33
condos,2.0,2.0,1.0,3751.0,1150.0,57.0,325000.0,33 - 67
condos,2.0,2.0,1.0,3751.0,1400.0,40.0,549900.0,33 - 67
condos,1.0,1.0,1.0,3751.0,925.0,28.0,177500.0,33 - 67
condos,0.0,1.0,1.0,3751.0,500.0,28.0,169900.0,33 - 67
condos,2.0,2.0,1.0,3751.0,1550.0,27.0,449900.0,0 - 33
condos,1.0,1.0,1.0,3751.0,860.0,19.0,199900.0,33 - 67
condos,1.0,2.0,1.0,3751.0,890.0,15.0,325000.0,0 - 33
condos,1.0,1.0,1.0,3751.0,850.0,30.0,165000.0,33 - 67
condos,2.0,2.0,2.0,3751.0,1400.0,10.0,370000.0,100 - 134
multi_family,6.0,3.0,2.0,3900.0,1550.0,2.0,275000.0,67 - 100
mobile,3.0,2.0,2.0,2250.0,1550.0,2.0,90000.0,0 - 33
multi_family,8.0,0.0,2.0,3751.0,1550.0,2.0,424900.0,100 - 134
condos,2.0,1.0,2.0,3751.0,1550.0,2.0,249000.0,67 - 100
condos,2.0,2.0,2.0,3751.0,1700.0,29.0,399900.0,67 - 100
single_family,3.0,2.0,2.0,3751.0,1550.0,2.0,29000.0,33 - 67
condos,1.0,1.0,2.0,3751.0,1550.0,3.0,249900.0,67 - 100
single_family,3.0,2.0,2.0,3751.0,1320.0,2.0,269999.0,67 - 100
single_family,3.0,2.0,2.0,6200.0,2026.0,2.0,495000.0,67 - 100
townhomes,3.0,2.0,1.0,3750.0,1233.0,2.0,93000.0,100 - 134
multi_family,9.0,6.0,2.0,3729.0,1550.0,2.0,233000.0,67 - 100
single_family,5.0,5.0,2.0,12502.0,4724.0,2.0,949873.0,67 - 100
single_family,3.0,1.0,2.0,5560.0,1127.0,1.0,249000.0,67 - 100
condos,3.0,2.0,2.0,3751.0,1800.0,4.0,625000.0,100 - 134
single_family,4.0,3.0,2.0,3125.0,1360.0,2.0,160000.0,100 - 134
condos,2.0,2.0,2.0,3751.0,1550.0,1.0,495000.0,33 - 67
single_family,3.0,2.0,2.0,3750.0,1100.0,2.0,240000.0,67 - 100
single_family,3.0,2.0,1.0,5244.0,1622.0,1.0,264500.0,33 - 67
single_family,3.0,2.0,2.0,4687.0,1224.0,2.0,185000.0,33 - 67
single_family,6.0,13.0,1.0,6599.0,20002.0,3.0,15750000.0,67 - 100
condos,1.0,1.0,1.0,3751.0,850.0,25.0,28000.0,67 - 100
single_family,4.0,2.0,2.0,7830.0,2165.0,2.0,689000.0,33 - 67
single_family,3.0,2.0,2.0,3125.0,1445.0,2.0,389999.0,0 - 33
single_family,2.0,2.0,2.0,4625.0,1550.0,2.0,129900.0,100 - 134
single_family,4.0,4.0,2.0,3751.0,2700.0,2.0,790000.0,67 - 100
single_family,4.0,3.0,2.0,3751.0,2300.0,2.0,389900.0,100 - 134
single_family,3.0,1.0,2.0,3751.0,1104.0,1.0,114400.0,33 - 67
townhomes,2.0,1.0,1.0,3751.0,936.0,2.0,49000.0,67 - 100
single_family,3.0,1.0,2.0,5320.0,1200.0,2.0,299900.0,33 - 67
single_family,4.0,1.0,2.0,3751.0,899.0,2.0,93600.0,67 - 100
multi_family,5.0,4.0,2.0,2544.0,1550.0,2.0,399000.0,0 - 33
single_family,4.0,2.0,2.0,3751.0,4500.0,2.0,1600000.0,67 - 100
single_family,5.0,4.0,2.0,12776.0,6721.0,2.0,998888.0,67 - 100
single_family,5.0,7.0,2.0,13504.0,5500.0,3.0,1175000.0,100 - 134
condos,2.0,2.0,2.0,3751.0,1375.0,5.0,299900.0,67 - 100
condos,2.0,2.0,2.0,3751.0,1500.0,1.0,450000.0,100 - 134
condos,1.0,1.0,2.0,3751.0,800.0,2.0,110000.0,33 - 67
condos,2.0,1.0,2.0,3751.0,1100.0,3.0,224700.0,100 - 134
single_family,4.0,3.0,2.0,3746.0,1150.0,2.0,99500.0,100 - 134
single_family,4.0,1.0,2.0,8960.0,1350.0,2.0,119900.0,100 - 134
single_family,3.0,1.0,2.0,3100.0,1600.0,2.0,180000.0,100 - 134
single_family,3.0,2.0,2.0,3751.0,1492.0,2.0,289900.0,67 - 100
single_family,3.0,3.0,2.0,5355.0,1220.0,1.0,345000.0,33 - 67
single_family,6.0,6.0,2.0,3125.0,5200.0,3.0,3399000.0,0 - 33
single_family,3.0,2.0,2.0,3750.0,1082.0,2.0,315000.0,33 - 67
single_family,2.0,1.0,2.0,3690.0,850.0,1.0,274900.0,67 - 100
single_family,5.0,4.0,2.0,6250.0,3400.0,2.0,399999.0,33 - 67
multi_family,10.0,5.0,2.0,38768.0,4200.0,2.0,165000.0,100 - 134
single_family,4.0,2.0,2.0,5001.0,2850.0,2.0,399000.0,67 - 100
multi_family,6.0,5.0,2.0,3751.0,2600.0,2.0,489900.0,33 - 67
single_family,4.0,1.0,2.0,4935.0,1200.0,2.0,280000.0,67 - 100
single_family,3.0,2.0,2.0,4200.0,1344.0,2.0,269900.0,67 - 100
single_family,4.0,2.0,2.0,3750.0,1800.0,2.0,259900.0,67 - 100
single_family,2.0,2.0,2.0,6075.0,1344.0,2.0,39900.0,100 - 134
condos,4.0,6.0,2.0,3751.0,7582.0,70.0,15170000.0,0 - 33
single_family,2.0,1.0,2.0,4125.0,1000.0,2.0,269900.0,67 - 100
single_family,3.0,2.0,2.0,6395.0,1536.0,2.0,309000.0,67 - 100
condos,3.0,2.0,2.0,3751.0,1700.0,3.0,239900.0,0 - 33
single_family,3.0,3.0,3.0,4051.0,2054.0,2.0,250000.0,67 - 100
single_family,4.0,3.0,2.0,8599.0,2506.0,2.0,495000.0,100 - 134
townhomes,3.0,3.0,1.0,3751.0,1550.0,3.0,679000.0,33 - 67
single_family,3.0,2.0,2.0,3813.0,1328.0,1.0,419000.0,33 - 67
condos,2.0,1.0,2.0,3751.0,1550.0,2.0,215000.0,67 - 100
condos,2.0,1.0,2.0,3751.0,1100.0,3.0,255000.0,67 - 100
single_family,3.0,3.0,2.0,6250.0,2600.0,2.0,950000.0,67 - 100
single_family,3.0,1.0,2.0,5625.0,994.0,1.0,175000.0,67 - 100
condos,4.0,4.0,1.0,3751.0,3000.0,17.0,400000.0,67 - 100
multi_family,6.0,4.0,2.0,4032.0,1550.0,2.0,399000.0,67 - 100
single_family,4.0,3.0,4.0,13321.0,2869.0,2.0,399900.0,100 - 134
single_family,3.0,3.0,2.0,3751.0,1650.0,2.0,484999.0,67 - 100
condos,2.0,1.0,2.0,3751.0,1000.0,4.0,165000.0,67 - 100
single_family,3.0,3.0,2.0,8000.0,2500.0,2.0,429999.0,67 - 100
single_family,5.0,7.0,2.0,3071.0,6450.0,2.0,4980000.0,0 - 33
condos,2.0,2.0,1.0,3751.0,1250.0,20.0,199900.0,33 - 67
multi_family,6.0,3.0,2.0,4356.0,1550.0,2.0,135000.0,134 - 168
